read_id	left_alignments	right_alignments	total_target_placements	left_mapq	right_mapq	classification	independent_alignment_support
SRR38978847.315299	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.317099	2	2	6	0	60	COPY_AMBIGUOUS	False
SRR38978847.323144	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.323197	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.323224	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.325803	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.328663	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.337595	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.339915	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.343584	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.347487	1	1	3	7	60	NON_UNIQUE_ANCHOR	False
SRR38978847.352834	1	1	3	0	4	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.356062	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.358313	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.359236	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.363000	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.369359	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.375119	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.378034	1	1	3	5	60	NON_UNIQUE_ANCHOR	False
SRR38978847.378755	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.383227	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.394328	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.402282	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.407027	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.409473	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.410242	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.411575	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.416715	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.419032	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.425270	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.425387	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.435871	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.441382	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.442678	2	2	6	1	60	COPY_AMBIGUOUS	False
SRR38978847.445995	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.448395	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.448434	1	1	4	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.454438	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.455811	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.458795	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.461529	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.465800	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.468846	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.472577	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.474165	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.475228	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.477374	1	1	5	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.478969	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.481937	1	1	5	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.492163	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.495169	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.498098	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.498645	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.499522	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.501260	1	1	3	5	60	NON_UNIQUE_ANCHOR	False
SRR38978847.501334	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.502613	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.502712	2	2	6	0	60	COPY_AMBIGUOUS	False
SRR38978847.506130	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.508002	1	1	5	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.511779	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.512402	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.523785	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.525325	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.527256	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.534717	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.536226	1	1	3	3	60	NON_UNIQUE_ANCHOR	False
SRR38978847.541867	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.541916	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.543568	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.545948	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.546741	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.548386	2	2	6	0	60	COPY_AMBIGUOUS	False
SRR38978847.549273	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.551934	1	1	5	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.552338	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.552500	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.553987	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.561522	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.565564	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.568346	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.569787	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.570334	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.579350	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.579429	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.583400	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.584923	1	1	3	4	60	NON_UNIQUE_ANCHOR	False
SRR38978847.585815	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.588989	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.589599	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.592808	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.593992	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.601584	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.603033	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.609351	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.613088	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.614165	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.617274	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.620924	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.621374	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.627644	2	2	6	1	60	COPY_AMBIGUOUS	False
SRR38978847.630936	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.633827	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.647605	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.648090	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.652872	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.656472	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.656631	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.660163	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.661660	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.667118	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.675281	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.676949	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.677514	1	1	4	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.681950	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.685173	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.685909	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.686419	1	2	6	0	60	COPY_AMBIGUOUS	False
SRR38978847.688820	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.689677	1	1	3	3	60	NON_UNIQUE_ANCHOR	False
SRR38978847.694162	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.698514	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.702413	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.703620	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.710123	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.710913	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.713364	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.715989	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.722098	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.726539	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.729151	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.731053	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.731213	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.732041	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.738399	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.743858	1	1	3	11	60	NON_UNIQUE_ANCHOR	False
SRR38978847.745640	1	1	5	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.747362	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.749868	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.750919	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.759603	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.761119	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.761766	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.764474	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.766508	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.767615	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.770777	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.778430	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.787271	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.787758	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.788351	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.788383	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.789790	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.791224	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.801111	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.803092	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.804976	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.808123	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.811621	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.811790	1	1	4	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.815342	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.823789	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.824370	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.824658	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.826750	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.828810	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.829101	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.829516	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.830252	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.830953	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.831064	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.832536	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.833483	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.833854	3	1	6	60	60	COPY_AMBIGUOUS	False
SRR38978847.834016	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.836242	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.840738	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.841709	1	1	3	1	60	NON_UNIQUE_ANCHOR	False
SRR38978847.844182	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.845880	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.845918	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.849604	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.854471	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.854755	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.855105	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.856005	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.856076	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.857045	2	2	6	0	60	COPY_AMBIGUOUS	False
SRR38978847.857514	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.858441	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.858560	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.858880	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.859890	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.861622	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.862298	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.864287	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.867614	1	2	6	0	60	COPY_AMBIGUOUS	False
SRR38978847.867722	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.870659	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.874748	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.875717	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.879520	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.881240	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.881361	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.884983	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.885740	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.889461	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.889651	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.892908	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
SRR38978847.893152	1	1	3	0	60	MAPQ_ZERO_AMBIGUOUS	False
